id,name,status,species,gender,origin,episode_count
1,Rick Sanchez,Alive,Human,Male,Earth (C-137),51
2,Morty Smith,Alive,Human,Male,unknown,51
3,Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),42
4,Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),42
5,Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),39
6,Abadango Cluster Princess,Alive,Alien,Female,Abadango,1
7,Abradolf Lincler,unknown,Human,Male,Earth (Replacement Dimension),2
8,Adjudicator Rick,Dead,Human,Male,unknown,1
9,Agency Director,Dead,Human,Male,Earth (Replacement Dimension),1
10,Alan Rails,Dead,Human,Male,unknown,1
11,Albert Einstein,Dead,Human,Male,Earth (C-137),1
12,Alexander,Dead,Human,Male,Earth (C-137),1
13,Alien Googah,unknown,Alien,unknown,unknown,1
14,Alien Morty,unknown,Alien,Male,unknown,1
15,Alien Rick,unknown,Alien,Male,unknown,1
16,Amish Cyborg,Dead,Alien,Male,unknown,1
17,Annie,Alive,Human,Female,Earth (C-137),1
18,Antenna Morty,Alive,Human,Male,unknown,2
19,Antenna Rick,unknown,Human,Male,unknown,1
20,Ants in my Eyes Johnson,unknown,Human,Male,unknown,1
